"Dim1","Dim2","Dim3","Dim4","Val"
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE112","FlexNoConstraints","ev",1.80625056
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE113","FlexNoConstraints","ev",3.29077624
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE114","FlexNoConstraints","ev",2.98517227
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE114","FlexNoConstraints","pv",3.84679575
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE114","NoFlexNoConstraints","pv",3.68129
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE115","FlexNoConstraints","ev",2.6642996
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE116","FlexNoConstraints","ev",2.98524654
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE116","FlexNoConstraints","pv",0.70394432
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE116","NoFlexNoConstraints","pv",0.32834
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE117","FlexNoConstraints","pv",0.35149964
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE117","NoFlexNoConstraints","pv",0.313284
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE118","FlexNoConstraints","ev",0.64459021
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE118","FlexNoConstraints","pv",0.65269929
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE118","NoFlexNoConstraints","pv",0.576476
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE119","FlexNoConstraints","ev",0.0395645
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE119","FlexNoConstraints","pv",3.54362033
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE119","NoFlexNoConstraints","pv",3.415584
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11A","FlexNoConstraints","ev",0.68481002
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11A","FlexNoConstraints","pv",3.49877306
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11A","NoFlexNoConstraints","pv",3.484032
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11B","FlexNoConstraints","ev",0.36693551
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11B","FlexNoConstraints","pv",2.43348472
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11B","NoFlexNoConstraints","pv",2.41725
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11C","FlexNoConstraints","ev",0.45212614
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11C","FlexNoConstraints","pv",3.1669879
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11C","NoFlexNoConstraints","pv",3.04986
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11D","FlexNoConstraints","ev",1.31152307
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11D","FlexNoConstraints","pv",6.65470824
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE11D","NoFlexNoConstraints","pv",6.352236
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE123","FlexNoConstraints","ev",2.27413997
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE123","FlexNoConstraints","pv",1.52254675
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE123","NoFlexNoConstraints","pv",1.19309
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE124","FlexNoConstraints","ev",2.11969536
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE124","FlexNoConstraints","pv",3.33945145
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE124","NoFlexNoConstraints","pv",3.160816
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE127","FlexNoConstraints","ev",1.00652708
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE127","FlexNoConstraints","pv",1.8712043
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE127","NoFlexNoConstraints","pv",1.915426
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE128","FlexNoConstraints","ev",1.96548246
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE128","FlexNoConstraints","pv",3.34884375
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE128","NoFlexNoConstraints","pv",2.947382
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE129","FlexNoConstraints","pv",0.36518297
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE129","NoFlexNoConstraints","pv",0.32653
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE12A","FlexNoConstraints","ev",0.9870443
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE12B","FlexNoConstraints","ev",1.71447332
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE12B","FlexNoConstraints","pv",1.66562227
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE12B","NoFlexNoConstraints","pv",1.462598
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE12C","FlexNoConstraints","ev",0.3490022
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE12C","FlexNoConstraints","pv",0.94448939
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE12C","NoFlexNoConstraints","pv",0.737416
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE132","FlexNoConstraints","ev",0.33417524
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE132","FlexNoConstraints","pv",2.26939628
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE132","NoFlexNoConstraints","pv",2.086912
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE133","FlexNoConstraints","ev",0.66552323
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE134","FlexNoConstraints","ev",1.428919
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE134","FlexNoConstraints","pv",6.38607734
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE134","NoFlexNoConstraints","pv",6.126478
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE135","FlexNoConstraints","ev",0.50460187
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE135","FlexNoConstraints","pv",2.48449326
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE135","NoFlexNoConstraints","pv",2.422614
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE136","FlexNoConstraints","ev",0.45118743
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE136","FlexNoConstraints","pv",5.10415547
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE136","NoFlexNoConstraints","pv",4.951606
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE137","FlexNoConstraints","ev",0.36050535
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE137","FlexNoConstraints","pv",1.88816604
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE137","NoFlexNoConstraints","pv",1.887376
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE138","FlexNoConstraints","ev",0.30799174
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE138","FlexNoConstraints","pv",3.59697383
