grid_type,diffusion_evs,diffusion_hps,diffusion_pv_storage,curtailment,tariff_wholesale,tariff_grid_usage_fee,q,component,value
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 52_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 52_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 93_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 45_HH2b_eff_vacSummer_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 67_entity,-7.541219232903856e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 110_HH1b_random_vacSummer_ees,0.0085
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 101_entity,-0.00029002361342077054
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 48_HH1b_random_vacWinter_ees,0.0066
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 43_entity,-0.00010296098184290383
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 132_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 90_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 18_HH1b_random_vacWinter_ees,0.0066
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 17_entity,-0.00010296098184290383
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 50_HH1b_random_vacSummer_ees,0.0085
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 61_entity,-0.00029002361342077054
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 47_HH2b_eff_vacSummer_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 41_entity,-7.3396e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 95_entity,-7.541219232903856e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 13_HH1a_random_vacSummer_ees,0.008199999999999999
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 99_entity,-0.00011803396058864339
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 9_HH1a_random_vacSummer_ees,0.008199999999999999
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 88_entity,-0.00011803396058864339
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 109_HH2a_eff_vacSummer_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 80_entity,-6.491568393470093e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 71_HH2b_random_vacWinter_ees,0.0064
