label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
"Aach (Konstanz, Baden-Württemberg)",Aach,08335001,Aach,Baden-Württemberg,Konstanz
"Aach (Trier-Saarburg, Rheinland-Pfalz)",Aach,07235001,Aach,Rheinland-Pfalz,Trier-Saarburg
Aachen,Aachen,05334002,Aachen,Nordrhein-Westfalen,Städteregion Aachen
"Aalen (Ostalbkreis, Baden-Württemberg) [08136002]",Aalen,08136002,Abtsgmünd,Baden-Württemberg,Ostalbkreis
"Aalen (Ostalbkreis, Baden-Württemberg) [08136045]",Aalen,08136045,Neresheim,Baden-Württemberg,Ostalbkreis
"Aalen (Ostalbkreis, Baden-Württemberg) [08136088]",Aalen,08136088,Aalen,Baden-Württemberg,Ostalbkreis
Aarbergen,Aarbergen,06439001,Aarbergen,Hessen,Rheingau-Taunus-Kreis
Aasbüttel,Aasbüttel,01061001,Aasbüttel,Schleswig-Holstein,Steinburg
Abbenrode,Abbenrode,15085227,Nordharz,Sachsen-Anhalt,Harz
Abenberg,Abenberg,09576111,Abenberg,Bayern,Roth
Abensberg,Abensberg,09273111,Abensberg,Bayern,Kelheim
Abentheuer,Abentheuer,07134001,Abentheuer,Rheinland-Pfalz,Birkenfeld
Absberg,Absberg,09577111,Absberg,Bayern,Weißenburg-Gunzenhausen
Abstatt,Abstatt,08125001,Abstatt,Baden-Württemberg,Heilbronn
Abtsbessingen,Abtsbessingen,16065001,Abtsbessingen,Thüringen,Kyffhäuserkreis
"Abtsgmünd (Ostalbkreis, Baden-Württemberg)",Abtsgmünd,08136002,Abtsgmünd,Baden-Württemberg,Ostalbkreis
"Abtsgmünd (Schwäbisch Hall, Baden-Württemberg)",Abtsgmünd,08127079,Sulzbach-Laufen,Baden-Württemberg,Schwäbisch Hall
Abtsteinach,Abtsteinach,06431001,Abtsteinach,Hessen,Bergstraße
Abtswind,Abtswind,09675111,Abtswind,Bayern,Kitzingen
Abtweiler,Abtweiler,07133001,Abtweiler,Rheinland-Pfalz,Bad Kreuznach
Achberg,Achberg,08436001,Achberg,Baden-Württemberg,Ravensburg
"Achern (Ortenaukreis, Baden-Württemberg) [08317001]",Achern,08317001,Achern,Baden-Württemberg,Ortenaukreis
"Achern (Ortenaukreis, Baden-Württemberg) [08317110]",Achern,08317110,Renchen,Baden-Württemberg,Ortenaukreis
Achim,Achim,03361001,Achim,Niedersachsen,Verden
