label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
Aachen,Aachen,05334002,Aachen,Nordrhein-Westfalen,Städteregion Aachen
"Aalen (Ostalbkreis, Baden-Württemberg) [08136045]",Aalen,08136045,Neresheim,Baden-Württemberg,Ostalbkreis
"Aalen (Ostalbkreis, Baden-Württemberg) [08136088]",Aalen,08136088,Aalen,Baden-Württemberg,Ostalbkreis
Achern,Achern,08317001,Achern,Baden-Württemberg,Ortenaukreis
Achim,Achim,03361001,Achim,Niedersachsen,Verden
Achtelsbach,Achtelsbach,07134002,Achtelsbach,Rheinland-Pfalz,Birkenfeld
Achtrup,Achtrup,01054001,Achtrup,Schleswig-Holstein,Nordfriesland
Ackendorf,Ackendorf,15083298,Hohe Börde,Sachsen-Anhalt,Börde
Adelebsen,Adelebsen,03159001,Adelebsen,Niedersachsen,Göttingen
Adelshofen,Adelshofen,09571111,Adelshofen,Bayern,Ansbach
Aderstedt,Aderstedt,15085185,Huy,Sachsen-Anhalt,Harz
Admannshagen-Bargeshagen,Admannshagen-Bargeshagen,13072001,Admannshagen-Bargeshagen,Mecklenburg-Vorpommern,Rostock
Aerzen,Aerzen,03252001,Aerzen,Niedersachsen,Hameln-Pyrmont
Agathenburg,Agathenburg,03359001,Agathenburg,Niedersachsen,Stade
Ahaus,Ahaus,05554004,Ahaus,Nordrhein-Westfalen,Borken
Ahlen,Ahlen,05570004,Ahlen,Nordrhein-Westfalen,Warendorf
Ahlerstedt,Ahlerstedt,03359002,Ahlerstedt,Niedersachsen,Stade
"Ahorn (Main-Tauber-Kreis, Baden-Württemberg) [08128014]",Ahorn,08128014,Boxberg,Baden-Württemberg,Main-Tauber-Kreis
"Ahorn (Main-Tauber-Kreis, Baden-Württemberg) [08128138]",Ahorn,08128138,Ahorn,Baden-Württemberg,Main-Tauber-Kreis
Ahrensbök,Ahrensbök,01055001,Ahrensbök,Schleswig-Holstein,Ostholstein
"Ahrensfelde (Barnim, Brandenburg) [12060005]",Ahrensfelde,12060005,Ahrensfelde,Brandenburg,Barnim
"Ahrensfelde (Barnim, Brandenburg) [12060181]",Ahrensfelde,12060181,Panketal,Brandenburg,Barnim
Ahrenshagen-Daskow,Ahrenshagen-Daskow,13073001,Ahrenshagen-Daskow,Mecklenburg-Vorpommern,Vorpommern-Rügen
Ahrenshöft,Ahrenshöft,01054002,Ahrenshöft,Schleswig-Holstein,Nordfriesland
Ahrenviöl,Ahrenviöl,01054003,Ahrenviöl,Schleswig-Holstein,Nordfriesland
Ahrenviölfeld,Ahrenviölfeld,01054004,Ahrenviölfeld,Schleswig-Holstein,Nordfriesland
Aichach,Aichach,09771113,Aichach,Bayern,Aichach-Friedberg
Aindling,Aindling,09771114,Aindling,Bayern,Aichach-Friedberg
Albersdorf,Albersdorf,01051001,Albersdorf,Schleswig-Holstein,Dithmarschen
Albessen,Albessen,07336002,Albessen,Rheinland-Pfalz,Kusel
Albisheim,Albisheim,07333001,Albisheim (Pfrimm),Rheinland-Pfalz,Donnersbergkreis
"Aldenhoven (Düren, Nordrhein-Westfalen) [05358004]",Aldenhoven,05358004,Aldenhoven,Nordrhein-Westfalen,Düren
"Aldenhoven (Düren, Nordrhein-Westfalen) [05358024]",Aldenhoven,05358024,Jülich,Nordrhein-Westfalen,Düren
Alfeld,Alfeld,09574111,Alfeld,Bayern,Nürnberger Land
Alfhausen,Alfhausen,03459001,Alfhausen,Niedersachsen,Osnabrück
Alfstedt,Alfstedt,03357002,Alfstedt,Niedersachsen,Rotenburg (Wümme)
Algermissen,Algermissen,03254003,Algermissen,Niedersachsen,Hildesheim
Allenbach,Allenbach,07134003,Allenbach,Rheinland-Pfalz,Birkenfeld
"Allersberg (Neumarkt i.d. OPf., Bayern)",Allersberg,09373126,Freystadt,Bayern,Neumarkt i.d. OPf.
"Allersberg (Roth, Bayern)",Allersberg,09576113,Allersberg,Bayern,Roth
Allstedt,Allstedt,15087015,Allstedt,Sachsen-Anhalt,Mansfeld-Südharz
Almdorf,Almdorf,01054006,Almdorf,Schleswig-Holstein,Nordfriesland
"Alpen (Kleve, Nordrhein-Westfalen)",Alpen,05154020,Issum,Nordrhein-Westfalen,Kleve
"Alpen (Wesel, Nordrhein-Westfalen)",Alpen,05170004,Alpen,Nordrhein-Westfalen,Wesel
Alpenrod,Alpenrod,07143202,Alpenrod,Rheinland-Pfalz,Westerwaldkreis
Alpirsbach,Alpirsbach,08237002,Alpirsbach,Baden-Württemberg,Freudenstadt
