flex,year,run,h,val
baseFlex,2030,NoFlexNoConstraints,h0001,0.0
baseFlex,2030,NoFlexNoConstraints,h0002,161.3932
baseFlex,2030,NoFlexNoConstraints,h0003,101.4404
baseFlex,2030,NoFlexNoConstraints,h0004,50.5151
baseFlex,2030,NoFlexNoConstraints,h0005,91.1722
baseFlex,2030,NoFlexNoConstraints,h0006,128.5432
baseFlex,2030,NoFlexNoConstraints,h0007,232.455
baseFlex,2030,NoFlexNoConstraints,h0008,177.8459
baseFlex,2030,NoFlexNoConstraints,h0009,570.6067
baseFlex,2030,NoFlexNoConstraints,h0010,1180.0593
baseFlex,2030,NoFlexNoConstraints,h0011,1493.1646
baseFlex,2030,NoFlexNoConstraints,h0012,2939.262
baseFlex,2030,NoFlexNoConstraints,h0013,3612.7755
baseFlex,2030,NoFlexNoConstraints,h0014,4774.9328
baseFlex,2030,NoFlexNoConstraints,h0015,5509.3772
baseFlex,2030,NoFlexNoConstraints,h0016,6437.8244
baseFlex,2030,NoFlexNoConstraints,h0017,10255.8771
baseFlex,2030,NoFlexNoConstraints,h0018,11562.4033
baseFlex,2030,NoFlexNoConstraints,h0019,10660.2738
baseFlex,2030,NoFlexNoConstraints,h0020,8699.4426
baseFlex,2030,NoFlexNoConstraints,h0021,5409.9469
baseFlex,2030,NoFlexNoConstraints,h0022,4121.4611
baseFlex,2030,NoFlexNoConstraints,h0023,3428.418
baseFlex,2030,NoFlexNoConstraints,h0024,1695.3003
baseFlex,2030,NoFlexNoConstraints,h0025,88.546
baseFlex,2030,NoFlexNoConstraints,h0026,95.2662
baseFlex,2030,NoFlexNoConstraints,h0027,65.582
baseFlex,2030,NoFlexNoConstraints,h0028,13.1877
baseFlex,2030,NoFlexNoConstraints,h0029,0.0
baseFlex,2030,NoFlexNoConstraints,h0030,0.0
baseFlex,2030,NoFlexNoConstraints,h0031,201.904
baseFlex,2030,NoFlexNoConstraints,h0032,213.3591
baseFlex,2030,NoFlexNoConstraints,h0033,523.8073
baseFlex,2030,NoFlexNoConstraints,h0034,867.069
baseFlex,2030,NoFlexNoConstraints,h0035,1483.6824
baseFlex,2030,NoFlexNoConstraints,h0036,2782.68
baseFlex,2030,NoFlexNoConstraints,h0037,3985.2979
baseFlex,2030,NoFlexNoConstraints,h0038,4562.6583
baseFlex,2030,NoFlexNoConstraints,h0039,5623.8327
baseFlex,2030,NoFlexNoConstraints,h0040,6913.0819
baseFlex,2030,NoFlexNoConstraints,h0041,8816.9764
baseFlex,2030,NoFlexNoConstraints,h0042,10862.6482
baseFlex,2030,NoFlexNoConstraints,h0043,10598.5956
