"Dim1","Dim2","Dim3","Dim4","Val"
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE114","FlexNoConstraints","pv",1.65589993
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE114","NoFlexNoConstraints","pv",1.587948
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE119","FlexNoConstraints","pv",2.30854201
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE119","NoFlexNoConstraints","pv",2.29773
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11A","FlexNoConstraints","pv",3.29109478
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11A","NoFlexNoConstraints","pv",3.292902
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11B","FlexNoConstraints","pv",2.11838286
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11B","NoFlexNoConstraints","pv",2.11175
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11C","FlexNoConstraints","pv",1.55119029
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11C","NoFlexNoConstraints","pv",1.520212
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11D","FlexNoConstraints","pv",3.91078049
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE11D","NoFlexNoConstraints","pv",3.846108
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE123","FlexNoConstraints","pv",0.91163355
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE123","NoFlexNoConstraints","pv",0.768094
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE124","FlexNoConstraints","pv",1.99121422
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE124","NoFlexNoConstraints","pv",1.921482
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE127","FlexNoConstraints","pv",1.66498861
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE127","NoFlexNoConstraints","pv",1.690704
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE128","FlexNoConstraints","pv",0.92052025
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE128","NoFlexNoConstraints","pv",0.728608
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE12C","FlexNoConstraints","pv",0.09023691
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE12C","NoFlexNoConstraints","pv",0.06632
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE132","FlexNoConstraints","pv",1.46773067
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE132","NoFlexNoConstraints","pv",1.393392
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE134","FlexNoConstraints","pv",4.46667885
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE134","NoFlexNoConstraints","pv",4.34715
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE135","FlexNoConstraints","pv",2.09101161
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE135","NoFlexNoConstraints","pv",2.07433
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE136","FlexNoConstraints","pv",2.26070226
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE136","NoFlexNoConstraints","pv",2.22733
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE137","FlexNoConstraints","pv",1.34767446
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE137","NoFlexNoConstraints","pv",1.34199
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE138","FlexNoConstraints","pv",1.4786649
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE138","NoFlexNoConstraints","pv",1.423826
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE139","FlexNoConstraints","pv",0.86297143
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE139","NoFlexNoConstraints","pv",0.829792
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE13A","FlexNoConstraints","pv",2.70728698
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE13A","NoFlexNoConstraints","pv",2.684482
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE141","FlexNoConstraints","pv",1.40269287
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE141","NoFlexNoConstraints","pv",1.32821
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE143","FlexNoConstraints","pv",1.88906042
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE143","NoFlexNoConstraints","pv",1.835264
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE145","FlexNoConstraints","pv",1.79009526
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE145","NoFlexNoConstraints","pv",1.771776
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE146","FlexNoConstraints","pv",5.8551797
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE146","NoFlexNoConstraints","pv",5.774496
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE148","FlexNoConstraints","pv",4.68061185
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE148","NoFlexNoConstraints","pv",4.678772
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE149","FlexNoConstraints","pv",2.11427165
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE149","NoFlexNoConstraints","pv",2.065932
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE214","FlexNoConstraints","pv",3.22839772
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE214","NoFlexNoConstraints","pv",3.315758
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE215","FlexNoConstraints","pv",0.89550721
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE215","NoFlexNoConstraints","pv",0.878316
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE216","FlexNoConstraints","pv",0.5143646
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE216","FlexNoConstraints","ev",0.08120697
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE216","NoFlexNoConstraints","pv",0.547678
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE217","FlexNoConstraints","pv",0.84337163
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE217","NoFlexNoConstraints","pv",0.819714
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE218","FlexNoConstraints","pv",1.26683707
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE218","NoFlexNoConstraints","pv",1.266132
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE219","FlexNoConstraints","pv",1.70695335
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE219","NoFlexNoConstraints","pv",1.759234
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21A","FlexNoConstraints","pv",1.37308501
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21A","NoFlexNoConstraints","pv",1.402744
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21B","FlexNoConstraints","pv",1.41692233
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21B","NoFlexNoConstraints","pv",1.434248
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21C","FlexNoConstraints","pv",0.42204444
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21C","NoFlexNoConstraints","pv",0.428378
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21D","FlexNoConstraints","pv",0.26808065
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21D","NoFlexNoConstraints","pv",0.297472
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21E","FlexNoConstraints","pv",0.88583129
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21E","FlexNoConstraints","ev",0.12700157
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21E","NoFlexNoConstraints","pv",0.956002
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21F","FlexNoConstraints","pv",0.53108773
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21F","NoFlexNoConstraints","pv",0.525218
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21G","FlexNoConstraints","pv",3.27521356
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21G","NoFlexNoConstraints","pv",3.281006
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21I","FlexNoConstraints","pv",2.74369012
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21I","NoFlexNoConstraints","pv",2.75013
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21J","FlexNoConstraints","pv",1.37203997
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21J","NoFlexNoConstraints","pv",1.370626
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21K","FlexNoConstraints","pv",3.16228066
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21K","NoFlexNoConstraints","pv",3.18895
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21L","FlexNoConstraints","pv",0.36666801
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21L","NoFlexNoConstraints","pv",0.347648
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21M","FlexNoConstraints","pv",3.10599981
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21M","NoFlexNoConstraints","pv",3.244932
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21N","FlexNoConstraints","pv",2.05370791
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21N","FlexNoConstraints","ev",0.18258013
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE21N","NoFlexNoConstraints","pv",2.115206
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE224","FlexNoConstraints","pv",5.02287924
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE224","NoFlexNoConstraints","pv",5.041566
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE225","FlexNoConstraints","pv",3.77614337
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE225","NoFlexNoConstraints","pv",3.797812
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE226","FlexNoConstraints","pv",2.85763306
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE226","NoFlexNoConstraints","pv",2.88272
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE227","FlexNoConstraints","pv",5.00268828
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE227","NoFlexNoConstraints","pv",5.082828
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE228","FlexNoConstraints","pv",4.80730426
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE228","NoFlexNoConstraints","pv",4.922898
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE229","FlexNoConstraints","pv",2.85232818
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE229","NoFlexNoConstraints","pv",2.850788
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE22A","FlexNoConstraints","pv",4.66883399
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE22A","NoFlexNoConstraints","pv",4.711578
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE22B","FlexNoConstraints","pv",2.03424076
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE22B","NoFlexNoConstraints","pv",2.166382
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE22C","FlexNoConstraints","pv",2.86282449
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE22C","NoFlexNoConstraints","pv",2.896406
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE233","FlexNoConstraints","pv",0.44663487
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE233","NoFlexNoConstraints","pv",0.42803
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE234","FlexNoConstraints","pv",1.35616154
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE234","NoFlexNoConstraints","pv",1.391634
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE235","FlexNoConstraints","pv",7.14876703
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE235","NoFlexNoConstraints","pv",7.166524
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE236","FlexNoConstraints","pv",2.79288547
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE236","NoFlexNoConstraints","pv",2.832646
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE237","FlexNoConstraints","pv",1.50665048
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE237","NoFlexNoConstraints","pv",1.55376
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE238","FlexNoConstraints","pv",1.57032895
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE238","NoFlexNoConstraints","pv",1.596016
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE239","FlexNoConstraints","pv",4.19604676
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE239","NoFlexNoConstraints","pv",4.156568
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE23A","FlexNoConstraints","pv",1.7003163
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE23A","NoFlexNoConstraints","pv",1.762126
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE245","FlexNoConstraints","pv",1.26467641
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE245","NoFlexNoConstraints","pv",1.30031
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE246","FlexNoConstraints","pv",1.23607646
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE246","NoFlexNoConstraints","pv",1.279798
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE247","FlexNoConstraints","pv",1.10980778
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE247","NoFlexNoConstraints","pv",1.133178
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE248","FlexNoConstraints","pv",1.09337565
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE248","NoFlexNoConstraints","pv",1.151062
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE249","FlexNoConstraints","pv",0.98859143
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE249","NoFlexNoConstraints","pv",1.025342
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24A","FlexNoConstraints","pv",0.38235169
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24A","NoFlexNoConstraints","pv",0.410716
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24B","FlexNoConstraints","pv",0.97780889
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24B","FlexNoConstraints","ev",0.01214042
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24B","NoFlexNoConstraints","pv",1.019358
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24C","FlexNoConstraints","pv",1.1058846
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24C","NoFlexNoConstraints","pv",1.107026
"expansion_baseEV_basePV_baseFlex_100_2030_neu","DE24D","FlexNoConstraints","pv",1.12438866
