"Dim1","Dim2","Dim3","Dim4","Val"
"expansion_baseEV_basePV_baseFlex_100_2045","DE112","FlexNoConstraints","ev",9.37695
"expansion_baseEV_basePV_baseFlex_100_2045","DE113","FlexNoConstraints","ev",11.735338
"expansion_baseEV_basePV_baseFlex_100_2045","DE114","FlexNoConstraints","ev",5.563762
"expansion_baseEV_basePV_baseFlex_100_2045","DE114","FlexNoConstraints","pv",3.68678
"expansion_baseEV_basePV_baseFlex_100_2045","DE114","FlexConstraints","pv",3.6813
"expansion_baseEV_basePV_baseFlex_100_2045","DE114","NoFlexNoConstraints","pv",3.87394
"expansion_baseEV_basePV_baseFlex_100_2045","DE114","NoFlexConstraints","pv",3.87394
"expansion_baseEV_basePV_baseFlex_100_2045","DE115","FlexNoConstraints","ev",11.508556
"expansion_baseEV_basePV_baseFlex_100_2045","DE116","FlexNoConstraints","ev",10.317386
"expansion_baseEV_basePV_baseFlex_100_2045","DE116","NoFlexNoConstraints","pv",0.91258
"expansion_baseEV_basePV_baseFlex_100_2045","DE116","NoFlexConstraints","pv",0.91258
"expansion_baseEV_basePV_baseFlex_100_2045","DE117","FlexNoConstraints","ev",0.237326
"expansion_baseEV_basePV_baseFlex_100_2045","DE117","FlexNoConstraints","pv",0.315684
"expansion_baseEV_basePV_baseFlex_100_2045","DE117","NoFlexNoConstraints","pv",0.504034
"expansion_baseEV_basePV_baseFlex_100_2045","DE117","NoFlexConstraints","pv",0.504034
"expansion_baseEV_basePV_baseFlex_100_2045","DE118","FlexNoConstraints","ev",9.134162
"expansion_baseEV_basePV_baseFlex_100_2045","DE118","NoFlexNoConstraints","pv",1.081926
"expansion_baseEV_basePV_baseFlex_100_2045","DE118","NoFlexConstraints","pv",1.081926
"expansion_baseEV_basePV_baseFlex_100_2045","DE119","FlexNoConstraints","ev",2.524804
"expansion_baseEV_basePV_baseFlex_100_2045","DE119","FlexNoConstraints","pv",3.008004
"expansion_baseEV_basePV_baseFlex_100_2045","DE119","FlexConstraints","pv",3.000484
"expansion_baseEV_basePV_baseFlex_100_2045","DE119","NoFlexNoConstraints","pv",3.833898
"expansion_baseEV_basePV_baseFlex_100_2045","DE119","NoFlexConstraints","pv",3.833898
"expansion_baseEV_basePV_baseFlex_100_2045","DE11A","FlexNoConstraints","ev",4.229104
"expansion_baseEV_basePV_baseFlex_100_2045","DE11A","FlexNoConstraints","pv",3.489192
"expansion_baseEV_basePV_baseFlex_100_2045","DE11A","FlexConstraints","pv",3.484032
"expansion_baseEV_basePV_baseFlex_100_2045","DE11A","NoFlexNoConstraints","pv",3.82725
"expansion_baseEV_basePV_baseFlex_100_2045","DE11A","NoFlexConstraints","pv",3.82725
"expansion_baseEV_basePV_baseFlex_100_2045","DE11B","FlexNoConstraints","ev",2.937176
"expansion_baseEV_basePV_baseFlex_100_2045","DE11B","FlexNoConstraints","pv",2.42854
