"Dim1","Dim2","Dim3","Dim4","Val"
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE112","FlexNoConstraints","ev",1.33057015
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE114","FlexNoConstraints","ev",0.28675216
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE114","FlexNoConstraints","pv",1.65347265
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE114","NoFlexNoConstraints","pv",1.587948
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE116","FlexNoConstraints","ev",0.38201399
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE119","FlexNoConstraints","pv",2.26575075
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE119","NoFlexNoConstraints","pv",2.29773
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11A","FlexNoConstraints","pv",3.29109478
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11A","NoFlexNoConstraints","pv",3.292902
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11B","FlexNoConstraints","ev",0.09117783
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11B","FlexNoConstraints","pv",2.11838286
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11B","NoFlexNoConstraints","pv",2.11175
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11C","FlexNoConstraints","pv",1.55119029
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11C","NoFlexNoConstraints","pv",1.520212
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11D","FlexNoConstraints","pv",3.91078049
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE11D","NoFlexNoConstraints","pv",3.846108
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE123","FlexNoConstraints","pv",0.91163355
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE123","NoFlexNoConstraints","pv",0.768094
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE124","FlexNoConstraints","ev",0.40547811
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE124","FlexNoConstraints","pv",1.99121422
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE124","NoFlexNoConstraints","pv",1.921482
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE127","FlexNoConstraints","ev",0.67177738
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE127","FlexNoConstraints","pv",1.66498861
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE127","NoFlexNoConstraints","pv",1.690704
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE128","FlexNoConstraints","ev",0.54038888
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE128","FlexNoConstraints","pv",0.92052025
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE128","NoFlexNoConstraints","pv",0.728608
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE12A","FlexNoConstraints","ev",0.34983921
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE12B","FlexNoConstraints","ev",0.45611915
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE12C","FlexNoConstraints","ev",0.09779877
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE12C","FlexNoConstraints","pv",0.0676353
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE12C","NoFlexNoConstraints","pv",0.06632
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE132","FlexNoConstraints","ev",0.0639345
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE132","FlexNoConstraints","pv",1.42089613
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE132","NoFlexNoConstraints","pv",1.393392
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE133","FlexNoConstraints","ev",0.2821554
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE134","FlexNoConstraints","pv",4.29619019
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE134","NoFlexNoConstraints","pv",4.34715
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE135","FlexNoConstraints","ev",0.04599841
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE135","FlexNoConstraints","pv",2.05719909
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE135","NoFlexNoConstraints","pv",2.07433
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE136","FlexNoConstraints","pv",2.2370551
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE136","NoFlexNoConstraints","pv",2.22733
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE137","FlexNoConstraints","ev",0.14672399
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE137","FlexNoConstraints","pv",1.37113903
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE137","NoFlexNoConstraints","pv",1.34199
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE138","FlexNoConstraints","pv",1.32437827
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE138","NoFlexNoConstraints","pv",1.423826
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE139","FlexNoConstraints","pv",0.76170084
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE139","NoFlexNoConstraints","pv",0.829792
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE13A","FlexNoConstraints","ev",0.50332094
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE13A","FlexNoConstraints","pv",2.660202
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE13A","NoFlexNoConstraints","pv",2.684482
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE141","FlexNoConstraints","ev",0.2096471
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE141","FlexNoConstraints","pv",1.38868299
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE141","NoFlexNoConstraints","pv",1.32821
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE143","FlexNoConstraints","ev",0.15621929
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE143","FlexNoConstraints","pv",1.81149061
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE143","NoFlexNoConstraints","pv",1.835264
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE145","FlexNoConstraints","ev",0.0633197
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE145","FlexNoConstraints","pv",1.77045621
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE145","NoFlexNoConstraints","pv",1.771776
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE146","FlexNoConstraints","pv",5.8439558
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE146","NoFlexNoConstraints","pv",5.774496
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE147","FlexNoConstraints","ev",0.12737615
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE148","FlexNoConstraints","pv",4.68061185
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE148","NoFlexNoConstraints","pv",4.678772
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE149","FlexNoConstraints","pv",2.11427165
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE149","NoFlexNoConstraints","pv",2.065932
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE211","FlexNoConstraints","ev",0.03830505
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE214","FlexNoConstraints","pv",3.369978
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE214","NoFlexNoConstraints","pv",3.315758
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE215","FlexNoConstraints","ev",0.00677068
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE215","FlexNoConstraints","pv",0.89550721
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE215","NoFlexNoConstraints","pv",0.878316
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE216","FlexNoConstraints","ev",0.91168027
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE216","FlexNoConstraints","pv",0.548108
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE216","NoFlexNoConstraints","pv",0.547678
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE217","FlexNoConstraints","pv",0.84337163
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE217","NoFlexNoConstraints","pv",0.819714
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE218","FlexNoConstraints","ev",0.53477804
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE218","FlexNoConstraints","pv",1.26683707
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE218","NoFlexNoConstraints","pv",1.266132
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE219","FlexNoConstraints","ev",0.27519226
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE219","FlexNoConstraints","pv",1.70695335
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE219","NoFlexNoConstraints","pv",1.759234
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21A","FlexNoConstraints","ev",0.63645912
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21A","FlexNoConstraints","pv",1.37308501
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21A","NoFlexNoConstraints","pv",1.402744
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21B","FlexNoConstraints","ev",0.30476636
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21B","FlexNoConstraints","pv",1.41692233
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21B","NoFlexNoConstraints","pv",1.434248
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21C","FlexNoConstraints","ev",0.18789682
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21C","FlexNoConstraints","pv",0.42204444
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21C","NoFlexNoConstraints","pv",0.428378
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21D","FlexNoConstraints","ev",0.73481298
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21D","NoFlexNoConstraints","pv",0.297472
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21E","FlexNoConstraints","ev",2.11841702
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21E","NoFlexNoConstraints","pv",0.956002
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21F","FlexNoConstraints","ev",0.41520395
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21F","FlexNoConstraints","pv",0.51534791
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21F","NoFlexNoConstraints","pv",0.525218
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21G","FlexNoConstraints","ev",0.49937564
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21G","FlexNoConstraints","pv",2.83697435
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21G","NoFlexNoConstraints","pv",3.281006
"expansion_baseEV_basePV_moreFlex_100_2030_neu","DE21I","FlexNoConstraints","ev",0.40396079
