wind_speed,value
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.0
4.0,0.01
4.5,0.033
5.0,0.056
5.5,0.082
6.0,0.108
6.5,0.141
7.0,0.174
7.5,0.2205
8.0,0.267
8.5,0.326
9.0,0.385
9.5,0.454
10.0,0.523
10.5,0.623
11.0,0.723
11.5,0.841
12.0,0.959
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,1.0
16.0,1.0
16.5,1.0
17.0,1.0
17.5,1.0
18.0,1.0
18.5,1.0
19.0,1.0
19.5,1.0
20.0,1.0
20.5,1.0
21.0,1.0
21.5,1.0
22.0,1.0
22.5,1.0
23.0,1.0
23.5,1.0
24.0,1.0
24.5,1.0
25.0,1.0
25.5,0.0
26.0,0.0
26.5,0.0
27.0,0.0
27.5,0.0
28.0,0.0
28.5,0.0
29.0,0.0
29.5,0.0
30.0,0.0
